youtube_id,title,studio_state,api_privacy,publishAt,publishedAt,duration,views
AeFm7gWyWik,"What JWST's Infrared Eyes Can See",SCHEDULED,private,2026-08-23T10:30:00Z,2026-08-04T22:20:43Z,PT27S,0
pjIevt27Svo,"Why JWST Pictures Don't Match the Textbook",SCHEDULED,private,2026-08-22T10:30:00Z,2026-08-04T22:18:10Z,PT25S,0
PcP64way3xA,"How Did Black Holes Get So Big So Fast?",SCHEDULED,private,2026-08-21T10:30:00Z,2026-08-04T22:15:37Z,PT27S,0
bLv0RfidjSg,"These Galaxies Appeared Too Early",SCHEDULED,private,2026-08-20T19:00:00Z,2026-08-04T22:13:04Z,PT27S,0
eOOFVrJ2Ojc,"The Hottest Nights in the Universe",SCHEDULED,private,2026-08-16T10:30:00Z,2026-08-02T22:10:05Z,PT43S,0
6QFGAFZk264,"Three Suns in the Sky — Real Alien Worlds",SCHEDULED,private,2026-08-15T10:30:00Z,2026-08-02T21:53:56Z,PT43S,0
aoR-dA_g7eI,"We Found Planets Made of Diamond",SCHEDULED,private,2026-08-14T10:30:00Z,2026-08-02T21:52:07Z,PT43S,0
ho9VJxp7f3A,"It Rains Glass Sideways on This Alien World",SCHEDULED,private,2026-08-13T19:00:00Z,2026-08-02T21:39:58Z,PT45S,0
B2STcIAF1lY,"What You Would See Falling Into a Black Hole",SCHEDULED,private,2026-08-12T10:30:00Z,2026-08-04T23:28:52Z,PT28S,2
svYOx07OrIM,"Would You Look Back?",SCHEDULED,private,2026-08-11T10:30:00Z,2026-08-04T23:19:14Z,PT43S,2
tUAdhOnMW2g,"Time Appears to Stop at a Black Hole",PUBLIC,public,,2026-08-10T10:30:33Z,PT28S,8
2uT3wXJLybw,"The Point of No Return Explained",PRIVATE,private,,2026-08-06T22:26:04Z,PT47S,0
wOlnj7nZWJM,"What You Would See Falling Into a Black Hole",PRIVATE,private,,2026-08-06T22:23:12Z,PT28S,0
lIHb_tyxQSM,"Would You Look Back?",PRIVATE,private,,2026-08-06T22:20:18Z,PT43S,0
2C-eiSMsBLc,"Time Appears to Stop at a Black Hole",PRIVATE,private,,2026-08-06T22:17:25Z,PT28S,0
IqII5mVGdrs,"Falling In Wouldn't Feel Like Falling",PRIVATE,private,,2026-08-06T23:11:56Z,PT43S,3
IwpO33AJaPQ,"Cross This Line and You Never Come Back",PRIVATE,private,,2026-08-06T22:14:17Z,PT45S,0
L2OFjL4neOo,"Falling In Wouldn't Feel Like Falling",PUBLIC,public,,2026-08-06T11:30:09Z,PT43S,14
JRfhE6yWom4,"Why This Line Is a Point of No Return #Space #Shorts",PUBLIC,public,,2026-08-05T20:00:05Z,PT45S,5
mGwSCdgxQO4,"It Rains Glass Sideways",PRIVATE,private,,2026-08-04T23:35:03Z,PT21S,0
8DxCTXUlw74,"Where Is Everybody?",PRIVATE,private,,2026-08-04T23:32:05Z,PT21S,0
w1ej9u0rPTA,"The Point of No Return Explained",PRIVATE,private,,2026-08-04T23:22:27Z,PT47S,1
kv1Yz74_S10,"Cross This Line and You Never Come Back",PRIVATE,private,,2026-08-04T23:03:59Z,PT45S,0
YsyPMhNmHMk,"The Discovery That Doesn't Add Up",PRIVATE,private,,2026-08-04T22:25:49Z,PT27S,0
gPCpMsB0w2E,"Is the Universe Older Than We Thought?",PRIVATE,private,,2026-08-04T22:23:16Z,PT29S,0
IsPLdq0oSe8,"What JWST's Infrared Eyes Can See",PRIVATE,private,,2026-08-04T22:04:55Z,PT27S,0
nX84ileqPKw,"What You Would See Falling Into a Black Hole",PRIVATE,private,,2026-08-04T00:45:50Z,PT27S,0
EO-44QH4glI,"Time Appears to Stop at a Black Hole",PRIVATE,private,,2026-08-04T00:45:06Z,PT27S,0
oFzKgHbAw4M,"The Discovery That Doesn't Add Up",PRIVATE,private,,2026-08-03T14:06:45Z,PT45S,0
SGv-wH0XbtI,"What JWST's Infrared Eyes Can Do #Shorts #Space #Telescope",PRIVATE,private,,2026-08-03T14:05:53Z,PT44S,0
Tw2OdQABU4E,"Orbit Asks: Is the Universe Older Than We Thought?",PRIVATE,private,,2026-08-03T14:05:11Z,PT43S,0
5MysOlOqLDY,"Massive Black Holes Found Too Early? #shorts #JWST #space",PRIVATE,private,,2026-08-03T14:04:35Z,PT44S,0
yTljUMV5Gms,"How Did Black Holes Get So Big So Fast? #shorts #jwst #space",PRIVATE,private,,2026-08-03T14:03:58Z,PT45S,0
QW0cn-O9k5g,"JWST's Impossible Galaxies: Are We Wrong? #shorts #jwst #astronomy",PRIVATE,private,,2026-08-03T14:02:54Z,PT45S,0
KcKBixwmcV4,"What If the First Alien Clue Is Already Here?",PUBLIC,public,,2026-08-03T11:30:08Z,PT49S,97
1HuV8o3gOss,"Why Haven't We Found Aliens Yet? #FermiParadox #Space #Shorts",PUBLIC,public,,2026-08-02T23:17:18Z,PT44S,38
rFJoOdQAc9c,"Don't Look Up: The Zoo Hypothesis #Shorts #Aliens #Science",PRIVATE,private,,2026-08-02T23:22:51Z,PT44S,46
dPMJQp2gMNc,"Space Is Rude About Distance",PRIVATE,private,,2026-08-02T23:18:23Z,PT41S,17
Web2otrTcT0,"Eyeball Planets Explained",PRIVATE,private,,2026-08-02T22:05:52Z,PT44S,0
5jjJ5CHrbCs,"The Point of No Return Explained",PRIVATE,private,,2026-08-02T22:03:08Z,PT44S,0
icedH_gK8JE,"What Your Eyes Would See",PRIVATE,private,,2026-08-02T22:01:18Z,PT43S,0
t1hTGIH8O44,"Would You Look Back?",PRIVATE,private,,2026-08-02T21:59:30Z,PT41S,0
1qts3tIsg9c,"Could Any of These Alien Worlds Host Life?",PRIVATE,private,,2026-08-02T21:56:53Z,PT45S,0
HvAKGjx4lv0,"Time Stops at the Edge — For Them",PRIVATE,private,,2026-08-02T21:48:32Z,PT43S,1
jyzrl9ueKq4,"Falling In Wouldn't Feel Like Falling",PRIVATE,private,,2026-08-02T21:43:50Z,PT41S,2
2777WlMGM8M,"Cross This Line and You Never Come Back",PRIVATE,private,,2026-08-02T21:42:18Z,PT43S,2
i18OD5Ab748,"Could Any of These Alien Worlds Host Life?",PRIVATE,private,,2026-07-31T19:09:23Z,PT45S,0
LQtNmzXJW4w,"Eyeball Planets Explained",PRIVATE,private,,2026-07-31T19:08:23Z,PT44S,0
e8-rKGv37o4,"The Hottest Nights in the Universe",PRIVATE,private,,2026-07-31T19:07:22Z,PT43S,0
PYhQ0x9HcPM,"Three Suns in the Sky — Real Alien Worlds",PRIVATE,private,,2026-07-31T19:06:22Z,PT43S,0
niqnBlzqaFs,"We Found Planets Made of Diamond",PRIVATE,private,,2026-07-31T19:05:22Z,PT43S,0
aX_7Qg_qzyo,"It Rains Glass Sideways on This Alien World",PRIVATE,private,,2026-07-31T19:04:21Z,PT45S,0
5nMieBeymKU,"The Point of No Return Explained",PRIVATE,private,,2026-07-30T19:21:01Z,PT44S,0
olnaYqeOtFs,"What Your Eyes Would See",PRIVATE,private,,2026-07-30T19:20:07Z,PT43S,0
80S5E-AWFhA,"Would You Look Back?",PRIVATE,private,,2026-07-30T19:19:13Z,PT41S,0
hdlr1soUwNA,"Time Stops at the Edge — For Them",PRIVATE,private,,2026-07-30T19:18:19Z,PT43S,0
C4GuFEFGySI,"Falling In Wouldn't Feel Like Falling",PRIVATE,private,,2026-07-30T19:17:25Z,PT41S,0
eZGAhF8dN7w,"Cross This Line and You Never Come Back",PRIVATE,private,,2026-07-30T19:16:31Z,PT43S,0
--CxhjNqtSY,"What If the First Alien Clue Is Already Here?",PRIVATE,private,,2026-07-31T00:11:36Z,PT49S,4
MO19iXYCu0c,"What If Aliens Are Watching Us?",PRIVATE,private,,2026-07-31T00:11:16Z,PT44S,5
z-DLqoSoEBo,"Why haven't we found aliens yet? The answer is terrifying #FermiParadox #Space #Shorts",PRIVATE,private,,2026-07-31T00:09:58Z,PT44S,99
UWwNKYf_aU8,"This Is Why We Haven't Met Aliens Yet #space #aliens #fermiparadox",PRIVATE,private,,2026-07-30T20:00:05Z,PT41S,18
