studio_title,youtube_id,studio_state,api_state,intended_publish_at,expected_state_now,canonical,parent_long_id,duplicate_of,superseded_by,registry_status,evidence,confidence,proposed_action
"What JWST's Infrared Eyes Can See","AeFm7gWyWik","SCHEDULED","private+publishAt:2026-08-23T10:30:00Z","2026-08-23T10:30:00Z","SCHEDULED",true,"tfTkMdE7qqw","","","scheduled","approved_schedule_exact","HIGH","KEEP_SCHEDULED"
"Why JWST Pictures Don't Match the Textbook","pjIevt27Svo","SCHEDULED","private+publishAt:2026-08-22T10:30:00Z","2026-08-22T10:30:00Z","SCHEDULED",true,"tfTkMdE7qqw","","","scheduled","approved_schedule_exact","HIGH","KEEP_SCHEDULED"
"How Did Black Holes Get So Big So Fast?","PcP64way3xA","SCHEDULED","private+publishAt:2026-08-21T10:30:00Z","2026-08-21T10:30:00Z","SCHEDULED",true,"tfTkMdE7qqw","","","scheduled","approved_schedule_exact","HIGH","KEEP_SCHEDULED"
"These Galaxies Appeared Too Early","bLv0RfidjSg","SCHEDULED","private+publishAt:2026-08-20T19:00:00Z","2026-08-20T19:00:00Z","SCHEDULED",true,"tfTkMdE7qqw","","","scheduled","approved_schedule_exact","HIGH","KEEP_SCHEDULED"
"The Hottest Nights in the Universe","eOOFVrJ2Ojc","SCHEDULED","private+publishAt:2026-08-16T10:30:00Z","2026-08-16T10:30:00Z","SCHEDULED",true,"b8-X_FyJnHM","","","scheduled","approved_schedule_exact","HIGH","KEEP_SCHEDULED"
"Three Suns in the Sky — Real Alien Worlds","6QFGAFZk264","SCHEDULED","private+publishAt:2026-08-15T10:30:00Z","2026-08-15T10:30:00Z","SCHEDULED",true,"b8-X_FyJnHM","","","scheduled","approved_schedule_exact","HIGH","KEEP_SCHEDULED"
"We Found Planets Made of Diamond","aoR-dA_g7eI","SCHEDULED","private+publishAt:2026-08-14T10:30:00Z","2026-08-14T10:30:00Z","SCHEDULED",true,"b8-X_FyJnHM","","","scheduled","approved_schedule_exact","HIGH","KEEP_SCHEDULED"
"It Rains Glass Sideways on This Alien World","ho9VJxp7f3A","SCHEDULED","private+publishAt:2026-08-13T19:00:00Z","2026-08-13T19:00:00Z","SCHEDULED",true,"b8-X_FyJnHM","","","scheduled","approved_schedule_exact","HIGH","KEEP_SCHEDULED"
"What You Would See Falling Into a Black Hole","B2STcIAF1lY","SCHEDULED","private+publishAt:2026-08-12T10:30:00Z","2026-08-12T10:30:00Z","SCHEDULED",true,"3xrxdmaOwJI","","","scheduled","approved_schedule_exact","HIGH","KEEP_SCHEDULED"
"Would You Look Back?","svYOx07OrIM","SCHEDULED","private+publishAt:2026-08-11T10:30:00Z","2026-08-11T10:30:00Z","SCHEDULED",true,"3xrxdmaOwJI","","","scheduled","approved_schedule_exact","HIGH","KEEP_SCHEDULED"
"Time Appears to Stop at a Black Hole","tUAdhOnMW2g","PUBLIC","public","2026-08-10T10:30:00Z","PUBLIC",true,"3xrxdmaOwJI","","","scheduled","approved_public_canonical","HIGH","KEEP_PUBLIC"
"The Point of No Return Explained","2uT3wXJLybw","PRIVATE","private","","PRIVATE",false,"","w1ej9u0rPTA","","historical_duplicate","historical_of:w1ej9u0rPTA","HIGH","KEEP_PRIVATE"
